Class; Value; Class start; Class end;
1;1;-2.427333143468;-2.408066272664;
2;0;-2.408066272664;-2.388799401860;
3;0;-2.388799401860;-2.369532531056;
4;0;-2.369532531056;-2.350265660252;
5;0;-2.350265660252;-2.330998789447;
6;0;-2.330998789447;-2.311731918643;
7;0;-2.311731918643;-2.292465047839;
8;0;-2.292465047839;-2.273198177035;
9;0;-2.273198177035;-2.253931306231;
10;0;-2.253931306231;-2.234664435427;
11;0;-2.234664435427;-2.215397564623;
12;0;-2.215397564623;-2.196130693819;
13;0;-2.196130693819;-2.176863823014;
14;0;-2.176863823014;-2.157596952210;
15;0;-2.157596952210;-2.138330081406;
16;0;-2.138330081406;-2.119063210602;
17;0;-2.119063210602;-2.099796339798;
18;0;-2.099796339798;-2.080529468994;
19;0;-2.080529468994;-2.061262598190;
20;2;-2.061262598190;-2.041995727385;
21;1;-2.041995727385;-2.022728856581;
22;2;-2.022728856581;-2.003461985777;
23;1;-2.003461985777;-1.984195114973;
24;3;-1.984195114973;-1.964928244169;
25;0;-1.964928244169;-1.945661373365;
26;2;-1.945661373365;-1.926394502561;
27;7;-1.926394502561;-1.907127631757;
28;7;-1.907127631757;-1.887860760952;
29;7;-1.887860760952;-1.868593890148;
30;6;-1.868593890148;-1.849327019344;
31;9;-1.849327019344;-1.830060148540;
32;15;-1.830060148540;-1.810793277736;
33;20;-1.810793277736;-1.791526406932;
34;12;-1.791526406932;-1.772259536128;
35;13;-1.772259536128;-1.752992665324;
36;16;-1.752992665324;-1.733725794519;
37;11;-1.733725794519;-1.714458923715;
38;14;-1.714458923715;-1.695192052911;
39;28;-1.695192052911;-1.675925182107;
40;12;-1.675925182107;-1.656658311303;
41;14;-1.656658311303;-1.637391440499;
42;18;-1.637391440499;-1.618124569695;
43;15;-1.618124569695;-1.598857698890;
44;22;-1.598857698890;-1.579590828086;
45;19;-1.579590828086;-1.560323957282;
46;27;-1.560323957282;-1.541057086478;
47;29;-1.541057086478;-1.521790215674;
48;25;-1.521790215674;-1.502523344870;
49;24;-1.502523344870;-1.483256474066;
50;32;-1.483256474066;-1.463989603262;
51;21;-1.463989603262;-1.444722732457;
52;31;-1.444722732457;-1.425455861653;
53;28;-1.425455861653;-1.406188990849;
54;43;-1.406188990849;-1.386922120045;
55;32;-1.386922120045;-1.367655249241;
56;41;-1.367655249241;-1.348388378437;
57;48;-1.348388378437;-1.329121507633;
58;50;-1.329121507633;-1.309854636828;
59;58;-1.309854636828;-1.290587766024;
60;54;-1.290587766024;-1.271320895220;
61;73;-1.271320895220;-1.252054024416;
62;72;-1.252054024416;-1.232787153612;
63;60;-1.232787153612;-1.213520282808;
64;79;-1.213520282808;-1.194253412004;
65;79;-1.194253412004;-1.174986541200;
66;83;-1.174986541200;-1.155719670395;
67;90;-1.155719670395;-1.136452799591;
68;93;-1.136452799591;-1.117185928787;
69;120;-1.117185928787;-1.097919057983;
70;99;-1.097919057983;-1.078652187179;
71;118;-1.078652187179;-1.059385316375;
72;146;-1.059385316375;-1.040118445571;
73;137;-1.040118445571;-1.020851574767;
74;156;-1.020851574767;-1.001584703962;
75;128;-1.001584703962;-0.982317833158;
76;150;-0.982317833158;-0.963050962354;
77;138;-0.963050962354;-0.943784091550;
78;164;-0.943784091550;-0.924517220746;
79;179;-0.924517220746;-0.905250349942;
80;201;-0.905250349942;-0.885983479138;
81;191;-0.885983479138;-0.866716608333;
82;236;-0.866716608333;-0.847449737529;
83;279;-0.847449737529;-0.828182866725;
84;241;-0.828182866725;-0.808915995921;
85;301;-0.808915995921;-0.789649125117;
86;301;-0.789649125117;-0.770382254313;
87;342;-0.770382254313;-0.751115383509;
88;359;-0.751115383509;-0.731848512705;
89;431;-0.731848512705;-0.712581641900;
90;445;-0.712581641900;-0.693314771096;
91;498;-0.693314771096;-0.674047900292;
92;546;-0.674047900292;-0.654781029488;
93;545;-0.654781029488;-0.635514158684;
94;600;-0.635514158684;-0.616247287880;
95;646;-0.616247287880;-0.596980417076;
96;737;-0.596980417076;-0.577713546272;
97;834;-0.577713546272;-0.558446675467;
98;903;-0.558446675467;-0.539179804663;
99;955;-0.539179804663;-0.519912933859;
